,portfolio,portfolio.curve,portfolio.percent.curve,capital
2024-12-04,219.99999999995623,-98488.11277777754,-9.848811277777756,1000000.0
2024-12-05,0.0,-98488.11277777754,-9.848811277777756,1000000.0
2024-12-06,2970.0000000000346,-95518.11277777751,-9.551811277777752,1000000.0
2024-12-09,2859.999999999978,-92658.11277777754,-9.265811277777754,1000000.0
2024-12-10,0.0,-92658.11277777754,-9.265811277777754,1000000.0
2024-12-11,-1099.9999999999375,-93758.11277777748,-9.375811277777748,1000000.0
2024-12-12,879.9999999999812,-92878.1127777775,-9.28781127777775,1000000.0
2024-12-13,-3520.000000000003,-96398.1127777775,-9.639811277777751,1000000.0
2024-12-16,659.9999999999468,-95738.11277777755,-9.573811277777756,1000000.0
2024-12-17,-2199.999999999953,-97938.11277777751,-9.79381127777775,1000000.0
2024-12-18,109.99999999997812,-97828.11277777754,-9.782811277777753,1000000.0
2024-12-19,-3189.9999999999905,-101018.11277777753,-10.101811277777752,1000000.0
2024-12-20,770.0000000000032,-100248.11277777753,-10.024811277777752,1000000.0
2024-12-23,3064.190000000013,-97183.92277777751,-9.71839227777775,1000000.0
2024-12-24,84.1899999999801,-97099.73277777754,-9.709973277777753,1000000.0
2024-12-25,-179.9999999999642,-97279.7327777775,-9.72797327777775,1000000.0
2024-12-26,-810.0000000000307,-98089.73277777754,-9.808973277777753,1000000.0
2024-12-27,1800.0000000000255,-96289.7327777775,-9.62897327777775,1000000.0
2024-12-30,-359.9999999999923,-96649.73277777749,-9.664973277777749,1000000.0
2024-12-31,0.0,-96649.73277777749,-9.664973277777749,1000000.0
2025-01-01,0.0,-96649.73277777749,-9.664973277777749,1000000.0
2025-01-02,-1620.0000000000614,-98269.73277777755,-9.826973277777755,1000000.0
2025-01-03,-1799.9999999999616,-100069.7327777775,-10.006973277777751,1000000.0
